,Suburb,Price_bed,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Median weekly household rental payment ($),Median equivalised total household income (weekly) ($),num_landmarks,distance to CBD,num_schools,total_transport,Incidents Recorded,Offence Count,total_crime,qualifying_income,RAI,affordability,amenities,crime_rate,crime_score,schools_score,healthcare_score,transport_score,liveability_score,liveability_rank,affordability_rank
27,CRANBOURNE,160.0,122174.0,12938.6,225.6,80567.0,302.0,154.0,481.0,67.0,305.0,25.0,2687.0,7201.0,0,62.43,0,0,4006.0,5626.0,9632.0,533.3333333333334,1350.1874999999998,1,78.38684416601409,0.07883837805097647,6.6665053896042785,0.0,47.7491961414791,0.0,27.479923922398275,13.0,1.0
92,POINT COOK,144.17,62990.0,8965.2,136.60000000000002,41810.0,398.0,229.0,317.0,109.0,283.0,29.0,1601.0,5143.0,0,39.43,4,0,3539.0,4884.0,8423.0,480.56666666666666,1070.1949087882363,1,73.29678935003915,0.13371963803778378,12.740302688860531,10.81081081081081,63.18327974276527,0.0,28.85685869492879,12.0,2.0
84,NARRE WARREN,157.5,52128.0,7667.0,147.8,35723.0,189.0,139.0,211.0,49.0,105.0,24.0,1592.0,4487.0,0,54.29,0,0,3635.0,4983.0,8618.0,525.0,854.6666666666667,1,38.919342208300705,0.16532381829343154,16.237988141565243,0.0,29.581993569131832,0.0,11.586737230510233,45.0,3.0
26,CRAIGIEBURN,153.33,57607.0,11196.5,125.9,38853.0,196.0,94.0,272.0,53.0,158.0,19.0,1523.0,3852.0,0,35.03,6,0,4720.0,6660.0,11380.0,511.1000000000001,753.6685580121306,1,44.244322631166796,0.19754543718645304,19.80400652119325,16.216216216216218,30.70739549839228,0.0,13.873179748793465,30.0,4.0
115,TRUGANINA,143.33,38668.0,6433.6,91.8,26146.0,153.0,77.0,277.0,45.0,172.0,30.0,1174.0,3447.0,0,37.63,3,0,3032.0,3885.0,6917.0,477.7666666666667,721.481894927789,1,44.63586530931872,0.178881762697838,17.738467651816023,8.108108108108109,23.79421221864952,0.0,12.294002668916388,40.0,5.0
106,SUNBURY,146.67,40147.0,768.7000000000002,113.3,26471.0,150.0,85.0,103.0,43.0,113.0,6.0,1098.0,3385.0,0,38.9,0,0,3160.0,4470.0,7630.0,488.9,692.3706279402741,1,24.980422866092404,0.190051560515107,18.97464713880439,0.0,23.311897106109324,0.0,6.163823353043869,70.0,6.0
117,WERRIBEE,135.0,58887.0,2806.9,105.5,39418.0,249.0,121.0,206.0,60.0,171.0,19.0,1026.0,3085.0,0,47.16,7,0,7250.0,9852.0,17102.0,450.0,685.5555555555555,1,42.75646045418951,0.29042063613361185,30.0826541446032,18.91891891891892,39.228295819935695,0.0,12.906002633275609,38.0,7.0
13,BRUNSWICK,275.0,53768.0,20807.5,136.6,42314.0,431.0,183.0,197.0,120.0,360.0,16.0,1667.0,5812.0,0,2.69,29,6,4271.0,5270.0,9541.0,916.6666666666667,634.0363636363636,1,66.17071260767423,0.17744755244755245,17.57974129701214,78.37837837837837,68.48874598070739,54.54545454545454,44.59242077073575,4.0,8.0
43,EPPING,150.0,33834.0,3899.2,108.1,22572.0,146.0,64.0,143.0,43.0,133.0,12.0,1091.0,2818.0,0,27.79,8,0,3972.0,5371.0,9343.0,500.0,563.6,1,28.50430696945967,0.2761423420228173,28.502452373926335,21.62162162162162,22.668810289389068,0.0,6.69638786892331,66.0,9.0
95,RESERVOIR,215.0,52065.0,10943.5,154.1,35092.0,184.0,112.0,216.0,60.0,165.0,12.0,1439.0,3905.0,0,10.16,20,0,6413.0,9256.0,15669.0,716.6666666666667,544.8837209302325,1,41.8167580266249,0.30095073465859984,31.248037082191527,54.054054054054056,28.778135048231512,0.0,13.803212651160052,31.0,10.0
