,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
202,12561.0,2487.4,40.9,8357.0,,,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,1510.0,Region summary_ Ivanhoe SA2 209011200.csv
203,19361.0,2586.9,34.1,14063.0,,,101.0,91.0,43.0,105.0,30.0,93.0,,77.0,3748.0,3404.0,799.0,350.0,3131.0,182.0,675.0,1009.0,Region summary_ Braybrook SA2 213031347.csv
204,19818.0,4133.4,35.9,13403.0,,,30.0,44.0,21.0,109.0,9.0,60.0,,17.0,5048.0,1154.0,971.0,346.0,2310.0,342.0,634.0,798.0,Region summary_ Noble Park - West SA2 212041460.csv
205,13460.0,298.7,51.4,7548.0,,,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,931.0,Region summary_ Dromana SA2 214021377.csv
206,22739.0,3542.5,35.5,14728.0,,,40.0,392.0,341.0,123.0,52.0,93.0,5.0,299.0,3518.0,2489.0,4372.0,426.0,3446.0,101.0,729.0,1487.0,Region summary_ Caulfield - North SA2 208021177.csv
207,14278.0,2404.3,45.1,8359.0,,,22.0,138.0,72.0,49.0,20.0,58.0,7.0,35.0,4410.0,1026.0,62.0,475.0,882.0,8.0,239.0,1123.0,Region summary_ Templestowe Lower SA2 207021160.csv
208,12115.0,2080.1,44.4,7717.0,,,24.0,62.0,48.0,50.0,15.0,41.0,3.0,23.0,2922.0,1693.0,833.0,420.0,1015.0,31.0,182.0,1166.0,Region summary_ Carrum - Patterson Lakes SA2 208031185.csv
209,12191.0,842.2,39.4,8140.0,,,37.0,34.0,29.0,68.0,12.0,29.0,3.0,28.0,3748.0,463.0,5.0,369.0,719.0,66.0,152.0,981.0,Region summary_ Endeavour Hills - North SA2 212021453.csv
210,10037.0,4087.1,35.2,7217.0,,,8.0,159.0,156.0,61.0,23.0,66.0,,33.0,1249.0,1030.0,2553.0,401.0,1732.0,67.0,431.0,1694.0,Region summary_ Hawthorn - North SA2 207011519.csv
211,17420.0,3507.1,34.1,13694.0,,,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,1233.0,Region summary_ Footscray SA2 213031348.csv
212,14071.0,1594.1,32.9,9589.0,,,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,677.0,Region summary_ Broadmeadows SA2 210051242.csv
213,15898.0,4157.4,35.9,11218.0,,,34.0,343.0,281.0,116.0,60.0,130.0,5.0,146.0,2357.0,1359.0,4445.0,411.0,2680.0,29.0,656.0,1610.0,Region summary_ Hawthorn East SA2 207011152.csv
214,12738.0,2793.4,38.0,8583.0,,,20.0,34.0,9.0,58.0,11.0,44.0,3.0,6.0,3484.0,419.0,132.0,355.0,1022.0,137.0,252.0,792.0,Region summary_ Springvale South SA2 212041318.csv
215,11266.0,298.1,36.2,7618.0,,,54.0,23.0,11.0,22.0,5.0,19.0,3.0,18.0,4080.0,38.0,176.0,376.0,816.0,12.0,172.0,1149.0,Region summary_ Sunbury - West SA2 210041541.csv
216,9262.0,5321.5,33.7,7675.0,,,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0,Region summary_ Abbotsford SA2 206071139.csv
217,12378.0,2959.9,30.2,9684.0,,,19.0,149.0,34.0,101.0,10.0,87.0,3.0,17.0,1946.0,2527.0,512.0,401.0,2338.0,246.0,891.0,1016.0,Region summary_ Clayton - Central SA2 212051568.csv
218,17439.0,31052.4,26.4,16599.0,,,32.0,78.0,154.0,109.0,58.0,258.0,3.0,1.0,5.0,,12423.0,361.0,6784.0,116.0,2641.0,843.0,Region summary_ Melbourne CBD - North SA2 206041504.csv
219,12828.0,3595.4,38.4,8863.0,,,64.0,74.0,35.0,41.0,13.0,36.0,3.0,31.0,3184.0,1671.0,615.0,400.0,1648.0,78.0,492.0,1228.0,Region summary_ Preston - West SA2 209021429.csv
220,10301.0,280.6,29.4,6848.0,,,18.0,23.0,14.0,38.0,,34.0,3.0,383.0,3129.0,30.0,,385.0,809.0,34.0,308.0,1088.0,Region summary_ Tarneit (West) - Mount Cottrell SA2 213051582.csv
221,11656.0,1843.5,44.4,7059.0,,,12.0,40.0,26.0,66.0,12.0,60.0,,14.0,3893.0,415.0,34.0,400.0,829.0,51.0,250.0,942.0,Region summary_ Clarinda - Oakleigh South SA2 212041309.csv
222,17836.0,141.8,31.2,12809.0,,,38.0,29.0,41.0,66.0,25.0,29.0,13.0,708.0,5045.0,102.0,,400.0,1097.0,17.0,367.0,1152.0,Region summary_ Rockbank - Mount Cottrell SA2 213041359.csv
223,16180.0,3309.7,40.5,11030.0,,,44.0,164.0,122.0,53.0,27.0,65.0,3.0,60.0,3566.0,1186.0,2116.0,382.0,1784.0,54.0,427.0,1400.0,Region summary_ Essendon (West) - Aberfeldie SA2 206031501.csv
224,12163.0,1515.8,37.1,8183.0,,,22.0,33.0,18.0,52.0,9.0,45.0,4.0,18.0,3594.0,549.0,211.0,341.0,1139.0,89.0,325.0,791.0,Region summary_ Sunshine North SA2 213011337.csv
225,9497.0,176.6,32.6,6226.0,,,16.0,28.0,134.0,146.0,22.0,103.0,6.0,35.0,1943.0,994.0,328.0,341.0,1264.0,142.0,226.0,745.0,Region summary_ Dandenong - South SA2 212041564.csv
226,17105.0,1061.3,46.2,10209.0,,,13.0,213.0,129.0,66.0,29.0,134.0,5.0,36.0,4849.0,1193.0,264.0,513.0,801.0,16.0,239.0,1199.0,Region summary_ Templestowe SA2 207021159.csv
227,16255.0,893.8,34.6,10211.0,,,79.0,70.0,71.0,174.0,21.0,110.0,14.0,11.0,4771.0,368.0,456.0,330.0,1444.0,199.0,299.0,610.0,Region summary_ Campbellfield - Coolaroo SA2 210051243.csv
228,20482.0,3327.6,40.3,13456.0,,,31.0,522.0,293.0,142.0,51.0,126.0,3.0,230.0,3616.0,1691.0,4552.0,410.0,2649.0,42.0,759.0,1701.0,Region summary_ Malvern - Glen Iris SA2 208041194.csv
229,21580.0,1656.6,34.8,14572.0,,,137.0,88.0,39.0,78.0,9.0,91.0,3.0,64.0,6388.0,1346.0,319.0,342.0,2435.0,288.0,425.0,895.0,Region summary_ Cranbourne SA2 212031300.csv
230,9471.0,3766.1,37.8,6581.0,,,16.0,57.0,56.0,44.0,13.0,38.0,3.0,19.0,1970.0,1105.0,1185.0,390.0,1321.0,36.0,400.0,1361.0,Region summary_ Murrumbeena SA2 208021181.csv
231,19475.0,2238.4,40.0,12515.0,,,18.0,191.0,199.0,163.0,40.0,147.0,9.0,49.0,4944.0,962.0,1634.0,470.0,1646.0,68.0,471.0,1184.0,Region summary_ Mount Waverley - South SA2 212051324.csv
232,6557.0,1633.0,41.4,4235.0,,,11.0,107.0,73.0,46.0,16.0,42.0,,24.0,1671.0,578.0,335.0,466.0,545.0,5.0,135.0,1548.0,Region summary_ Kew East SA2 207011154.csv
233,19460.0,6698.1,34.5,15485.0,,,71.0,318.0,200.0,162.0,63.0,237.0,5.0,101.0,1833.0,2715.0,7606.0,421.0,5320.0,121.0,1202.0,1651.0,Region summary_ Prahran - Windsor SA2 206061136.csv
234,15540.0,1895.1,40.8,10493.0,,,40.0,102.0,63.0,55.0,20.0,45.0,6.0,28.0,5222.0,415.0,107.0,425.0,1017.0,8.0,175.0,1162.0,Region summary_ Rowville - Central SA2 211011256.csv
235,3024.0,43.5,34.9,1920.0,,,22.0,3.0,3.0,4.0,3.0,3.0,3.0,27.0,987.0,5.0,,380.0,89.0,13.0,27.0,1386.0,Region summary_ Eynesbury - Exford SA2 213041573.csv
236,5002.0,3087.8,37.1,3399.0,,,18.0,11.0,11.0,23.0,8.0,11.0,3.0,3.0,1726.0,58.0,25.0,361.0,326.0,10.0,119.0,1147.0,Region summary_ Seabrook SA2 213021345.csv
237,8927.0,1682.0,42.3,5928.0,,,14.0,66.0,24.0,31.0,3.0,16.0,,3.0,2542.0,142.0,328.0,510.0,305.0,3.0,120.0,1217.0,Region summary_ Aspendale Gardens - Waterways SA2 208031183.csv
238,6656.0,359.9,40.8,4717.0,,,10.0,32.0,39.0,37.0,6.0,14.0,3.0,19.0,2134.0,,5.0,435.0,151.0,4.0,51.0,1397.0,Region summary_ Lysterfield SA2 211011255.csv
239,16658.0,1385.0,42.4,10075.0,,,51.0,98.0,82.0,72.0,27.0,53.0,,47.0,5689.0,1010.0,110.0,415.0,1092.0,38.0,265.0,1270.0,Region summary_ Montmorency - Briar Hill SA2 209011202.csv
240,14989.0,2399.3,34.6,10089.0,,,46.0,58.0,15.0,66.0,20.0,46.0,18.0,37.0,4038.0,2109.0,122.0,369.0,1977.0,62.0,604.0,935.0,Region summary_ Glenroy - East SA2 210031535.csv
241,10781.0,149.7,31.7,7117.0,,,60.0,21.0,19.0,46.0,12.0,26.0,5.0,60.0,3201.0,175.0,,361.0,829.0,12.0,516.0,1225.0,Region summary_ Manor Lakes - Quandong SA2 213051579.csv
242,7708.0,390.1,29.4,5167.0,,,41.0,9.0,10.0,29.0,7.0,13.0,,166.0,2291.0,80.0,,371.0,635.0,5.0,185.0,1102.0,Region summary_ Cobblebank - Strathtulloh SA2 213041572.csv
243,16985.0,148.9,37.0,11188.0,,,109.0,128.0,72.0,64.0,32.0,96.0,5.0,67.0,5374.0,1083.0,350.0,351.0,2086.0,71.0,330.0,1107.0,Region summary_ Werribee - South SA2 213051368.csv
244,17071.0,924.6,44.9,11795.0,,,30.0,73.0,68.0,67.0,14.0,67.0,8.0,16.0,5296.0,574.0,39.0,412.0,559.0,62.0,225.0,1138.0,Region summary_ Taylors Lakes SA2 213011340.csv
245,15078.0,3260.0,33.6,10091.0,,,83.0,36.0,16.0,69.0,13.0,44.0,14.0,10.0,3883.0,843.0,57.0,346.0,1300.0,152.0,176.0,657.0,Region summary_ Meadow Heights SA2 210051247.csv
246,14081.0,3176.9,38.1,9024.0,,,44.0,14.0,10.0,50.0,4.0,15.0,,5.0,4705.0,134.0,92.0,323.0,1006.0,127.0,270.0,689.0,Region summary_ Kings Park (Vic.) SA2 213011333.csv
247,18230.0,2257.1,35.3,11941.0,,,55.0,47.0,29.0,91.0,10.0,54.0,3.0,9.0,5721.0,810.0,55.0,350.0,1717.0,174.0,430.0,821.0,Region summary_ Deer Park SA2 213011569.csv
248,12432.0,2333.7,30.8,8038.0,,,60.0,21.0,15.0,53.0,7.0,20.0,3.0,139.0,3671.0,365.0,20.0,401.0,972.0,48.0,243.0,1038.0,Region summary_ Cranbourne East - South SA2 212031558.csv
249,12920.0,2368.7,30.5,8523.0,,,40.0,37.0,17.0,71.0,5.0,38.0,,3.0,3547.0,176.0,25.0,401.0,980.0,31.0,218.0,1092.0,Region summary_ Cranbourne North - East SA2 212031559.csv
250,17613.0,215.7,32.6,11636.0,,,72.0,30.0,22.0,66.0,9.0,25.0,,215.0,5582.0,281.0,10.0,408.0,862.0,19.0,203.0,1215.0,Region summary_ Cranbourne South SA2 212031303.csv
251,25201.0,4048.9,39.8,16589.0,,,29.0,183.0,154.0,90.0,49.0,119.0,5.0,125.0,5830.0,2227.0,2247.0,491.0,2669.0,43.0,723.0,1378.0,Region summary_ Bentleigh - McKinnon SA2 208021174.csv
252,8237.0,2214.6,39.5,5287.0,,,24.0,44.0,37.0,29.0,10.0,39.0,5.0,26.0,2401.0,1350.0,125.0,401.0,962.0,4.0,144.0,1152.0,Region summary_ Airport West SA2 210011226.csv
253,8751.0,660.1,32.0,5829.0,,,14.0,27.0,38.0,46.0,6.0,43.0,6.0,2.0,2393.0,83.0,,400.0,504.0,54.0,184.0,1112.0,Region summary_ Derrimut SA2 213011570.csv
254,7644.0,3803.9,37.9,5330.0,,,13.0,41.0,35.0,36.0,19.0,25.0,3.0,17.0,1703.0,1090.0,547.0,416.0,1019.0,56.0,344.0,1292.0,Region summary_ Hughesdale SA2 208021180.csv
255,23254.0,2286.5,36.8,16076.0,,,45.0,138.0,133.0,149.0,34.0,158.0,8.0,81.0,6376.0,1520.0,1823.0,415.0,2818.0,157.0,807.0,1180.0,Region summary_ Oakleigh - Huntingdale SA2 212051326.csv
256,23187.0,1174.1,43.3,14432.0,,,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,1117.0,Region summary_ Berwick - North SA2 212021293.csv
257,10427.0,3962.2,36.7,7682.0,,,50.0,123.0,23.0,35.0,14.0,63.0,,14.0,1998.0,1645.0,1134.0,490.0,1660.0,37.0,463.0,1585.0,Region summary_ Northcote - West SA2 206021500.csv
258,18985.0,2147.5,38.0,12783.0,,,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0,Region summary_ Newport SA2 213021344.csv
259,22537.0,2029.4,35.8,15636.0,,,31.0,105.0,63.0,190.0,27.0,189.0,8.0,41.0,5359.0,1823.0,823.0,356.0,2834.0,302.0,826.0,782.0,Region summary_ Springvale SA2 212041317.csv
260,17010.0,2981.6,41.0,11013.0,,,7.0,306.0,166.0,93.0,40.0,58.0,4.0,70.0,4503.0,1295.0,781.0,522.0,1249.0,14.0,361.0,1738.0,Region summary_ Glen Iris - East SA2 207011150.csv
261,25172.0,2869.0,40.4,16257.0,,,37.0,217.0,177.0,125.0,41.0,157.0,10.0,87.0,5830.0,2222.0,3521.0,450.0,3010.0,107.0,666.0,1017.0,Region summary_ Doncaster SA2 207021157.csv
262,16332.0,2924.2,43.2,10182.0,,,14.0,330.0,214.0,86.0,51.0,157.0,3.0,78.0,4101.0,1817.0,1145.0,461.0,1568.0,3.0,398.0,1270.0,Region summary_ Balwyn SA2 207011147.csv
263,11371.0,1704.5,45.3,7016.0,,,18.0,135.0,69.0,39.0,30.0,51.0,,39.0,3701.0,550.0,450.0,460.0,857.0,5.0,230.0,1084.0,Region summary_ Bulleen SA2 207021156.csv
264,8513.0,1745.2,37.8,5783.0,,,45.0,41.0,27.0,39.0,14.0,34.0,3.0,19.0,2567.0,736.0,197.0,401.0,958.0,25.0,290.0,1211.0,Region summary_ Coburg North SA2 210031236.csv
265,9939.0,929.5,32.9,6174.0,,,65.0,35.0,6.0,32.0,6.0,7.0,3.0,6.0,2957.0,385.0,,350.0,805.0,45.0,142.0,897.0,Region summary_ Brookfield SA2 213041571.csv
266,18270.0,2482.9,33.4,12307.0,,,18.0,57.0,35.0,102.0,9.0,63.0,9.0,45.0,4849.0,333.0,30.0,416.0,997.0,59.0,469.0,1153.0,Region summary_ Lynbrook - Lyndhurst SA2 212031306.csv
267,19665.0,1485.5,38.3,12659.0,,,225.0,47.0,15.0,48.0,13.0,38.0,4.0,14.0,7644.0,914.0,107.0,341.0,2789.0,221.0,271.0,841.0,Region summary_ Frankston North SA2 214011372.csv
268,13663.0,2679.0,40.1,8841.0,,,35.0,53.0,33.0,49.0,20.0,28.0,,70.0,3250.0,787.0,1531.0,440.0,1076.0,28.0,262.0,1358.0,Region summary_ Edithvale - Aspendale SA2 208031189.csv
269,5124.0,17.5,47.5,3295.0,,,9.0,12.0,23.0,31.0,11.0,9.0,,7.0,1937.0,,,300.0,109.0,,22.0,1244.0,Region summary_ Panton Hill - St Andrews SA2 209031212.csv
270,18891.0,1845.2,40.4,11603.0,,,59.0,84.0,43.0,59.0,26.0,36.0,5.0,22.0,6185.0,1090.0,87.0,400.0,1383.0,39.0,416.0,1194.0,Region summary_ Viewbank - Yallambie SA2 209011203.csv
271,10609.0,7699.4,35.1,8385.0,,,30.0,244.0,93.0,72.0,32.0,231.0,,50.0,166.0,2024.0,3731.0,451.0,2685.0,159.0,477.0,1679.0,Region summary_ Fitzroy SA2 206071142.csv
272,28573.0,3589.3,30.6,19197.0,,,69.0,158.0,68.0,183.0,40.0,124.0,25.0,15.0,7363.0,959.0,15.0,380.0,2320.0,140.0,964.0,1077.0,Region summary_ Tarneit - Central SA2 213051583.csv
273,11306.0,3612.0,30.9,7359.0,,,26.0,48.0,18.0,67.0,25.0,25.0,9.0,5.0,2696.0,778.0,30.0,369.0,881.0,29.0,291.0,972.0,Region summary_ Tarneit - South SA2 213051585.csv
274,13215.0,4834.6,33.9,10627.0,,,73.0,134.0,60.0,60.0,42.0,160.0,12.0,104.0,1815.0,2036.0,3146.0,450.0,2980.0,88.0,809.0,1540.0,Region summary_ Brunswick - South SA2 206011496.csv
275,21351.0,2273.1,39.3,13690.0,,,71.0,116.0,57.0,65.0,31.0,52.0,3.0,47.0,7789.0,566.0,151.0,385.0,1949.0,83.0,406.0,1174.0,Region summary_ Ringwood East SA2 211031267.csv
276,12084.0,1400.8,31.9,8113.0,,,80.0,45.0,19.0,53.0,10.0,30.0,3.0,45.0,3720.0,184.0,,390.0,992.0,14.0,283.0,1119.0,Region summary_ Mernda - South SA2 209041532.csv
277,21833.0,2715.2,34.8,14973.0,,,102.0,157.0,93.0,176.0,28.0,169.0,8.0,50.0,3172.0,3546.0,2145.0,310.0,3991.0,746.0,741.0,749.0,Region summary_ Dandenong - North SA2 212041563.csv
278,23831.0,2115.8,39.2,15401.0,,,112.0,100.0,48.0,97.0,26.0,67.0,3.0,59.0,7159.0,2594.0,399.0,376.0,2618.0,117.0,406.0,1024.0,Region summary_ Boronia SA2 211011446.csv
279,13570.0,1709.5,34.5,9602.0,,,29.0,43.0,23.0,133.0,10.0,54.0,,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0,Region summary_ Clayton South SA2 212041310.csv
280,16074.0,2188.0,45.0,10333.0,,,38.0,156.0,107.0,65.0,42.0,106.0,3.0,75.0,3629.0,2228.0,1183.0,450.0,1561.0,13.0,340.0,1508.0,Region summary_ Williamstown SA2 213021346.csv
281,7595.0,1655.3,36.2,5256.0,,,27.0,11.0,5.0,47.0,10.0,26.0,4.0,19.0,2149.0,670.0,670.0,320.0,1177.0,110.0,350.0,892.0,Region summary_ Ardeer - Albion SA2 213011328.csv
282,12032.0,4204.6,38.3,8071.0,,,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,1548.0,Region summary_ Elsternwick SA2 208021179.csv
283,16406.0,3767.1,37.9,11601.0,,,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,1456.0,Region summary_ Moonee Ponds SA2 206031116.csv
284,8082.0,82.0,40.1,5280.0,,,23.0,11.0,11.0,25.0,8.0,13.0,3.0,15.0,2940.0,15.0,38.0,370.0,295.0,11.0,23.0,1057.0,Region summary_ Pearcedale - Tooradin SA2 212031308.csv
285,15273.0,1039.8,45.3,8581.0,,,79.0,76.0,48.0,71.0,34.0,36.0,3.0,16.0,5489.0,522.0,83.0,400.0,1023.0,41.0,83.0,949.0,Region summary_ Mornington - East SA2 214021591.csv
286,23908.0,2056.7,39.0,15921.0,,,198.0,221.0,85.0,88.0,34.0,108.0,5.0,35.0,7218.0,2893.0,1173.0,335.0,4124.0,391.0,361.0,952.0,Region summary_ Frankston SA2 214011371.csv
287,12541.0,2357.4,39.8,8121.0,,,19.0,99.0,102.0,77.0,45.0,47.0,5.0,34.0,3129.0,1333.0,714.0,450.0,1260.0,23.0,278.0,1415.0,Region summary_ Highett (West) - Cheltenham SA2 208011171.csv
288,18919.0,1909.0,37.8,12518.0,,,78.0,122.0,72.0,89.0,49.0,92.0,10.0,64.0,6316.0,955.0,1184.0,381.0,2881.0,122.0,548.0,1097.0,Region summary_ Ringwood SA2 211031266.csv
289,18102.0,1355.4,44.0,11295.0,,,48.0,151.0,91.0,77.0,35.0,91.0,3.0,25.0,5225.0,1269.0,434.0,426.0,1316.0,90.0,260.0,1040.0,Region summary_ Wantirna South SA2 211011260.csv
290,3141.0,2063.1,39.3,2029.0,,,7.0,13.0,12.0,14.0,6.0,9.0,3.0,3.0,781.0,354.0,63.0,423.0,160.0,3.0,41.0,1227.0,Region summary_ Gowanbrae SA2 210031439.csv
291,78.0,45.6,32.0,77.0,,,0.0,5.0,,3.0,,3.0,,,,5.0,34.0,401.0,8.0,,4.0,1792.0,Region summary_ Flemington Racecourse SA2 206041120.csv
292,15792.0,2466.3,43.4,9739.0,,,7.0,127.0,101.0,59.0,28.0,90.0,3.0,25.0,4448.0,664.0,864.0,497.0,909.0,16.0,336.0,1090.0,Region summary_ Doncaster East - North SA2 207021424.csv
293,21411.0,2419.5,42.5,13865.0,,,27.0,312.0,194.0,107.0,38.0,134.0,3.0,123.0,6492.0,1030.0,308.0,554.0,1363.0,3.0,418.0,1318.0,Region summary_ Balwyn North SA2 207011148.csv
294,21324.0,2778.1,39.5,14050.0,,,22.0,241.0,126.0,105.0,41.0,195.0,3.0,68.0,5481.0,1059.0,1922.0,462.0,2279.0,102.0,595.0,1076.0,Region summary_ Glen Waverley - West SA2 212051322.csv
295,16477.0,1745.6,34.1,10573.0,,,86.0,63.0,23.0,51.0,8.0,19.0,5.0,44.0,5260.0,172.0,32.0,400.0,1052.0,25.0,242.0,1159.0,Region summary_ Doreen - North SA2 209041527.csv
296,14104.0,5966.9,38.1,11162.0,,,56.0,115.0,198.0,105.0,59.0,168.0,10.0,19.0,395.0,962.0,8139.0,392.0,3966.0,332.0,880.0,1506.0,Region summary_ St Kilda - West SA2 206051514.csv
297,8025.0,2829.1,41.4,5081.0,,,23.0,109.0,49.0,38.0,13.0,33.0,3.0,119.0,2244.0,612.0,120.0,455.0,678.0,34.0,176.0,1567.0,Region summary_ Ashburton (Vic.) SA2 207011146.csv
298,12151.0,3777.9,34.0,9071.0,,,15.0,193.0,192.0,94.0,43.0,92.0,4.0,41.0,1327.0,714.0,4719.0,400.0,2563.0,35.0,671.0,1589.0,Region summary_ Hawthorn - South SA2 207011520.csv
299,13464.0,2409.8,39.5,8763.0,,,12.0,54.0,28.0,58.0,18.0,46.0,,7.0,4145.0,597.0,5.0,383.0,777.0,24.0,151.0,962.0,Region summary_ Endeavour Hills - South SA2 212021454.csv
300,16233.0,2004.5,38.2,10395.0,,,60.0,87.0,29.0,42.0,14.0,53.0,3.0,79.0,5318.0,1357.0,509.0,371.0,1976.0,166.0,304.0,1025.0,Region summary_ Croydon - East SA2 211031450.csv
301,8197.0,2065.5,34.5,5562.0,,,36.0,31.0,9.0,46.0,3.0,27.0,5.0,6.0,2642.0,119.0,117.0,350.0,703.0,34.0,187.0,867.0,Region summary_ Craigieburn - Central SA2 210051441.csv
302,102337.0,2750.2,45.4,62957.0,,,120.0,1129.0,1006.0,520.0,313.0,446.0,28.0,597.0,26034.0,9888.0,6895.0,520.0,8446.0,147.0,1716.0,1597.0,Region summary_ Bayside SA3 20801.csv
303,7801.0,1824.0,45.3,4960.0,,,11.0,144.0,77.0,39.0,18.0,30.0,3.0,78.0,2373.0,120.0,643.0,451.0,546.0,32.0,142.0,1726.0,Region summary_ Ivanhoe East - Eaglemont SA2 209011201.csv
