Address,Prices,Bedroom,Bathroom,Parking,Type
"G06A/72 Ascot Vale Road, 
FLEMINGTON VIC 3031",$470 per week,1,1,1,House
"509/2 Joseph Road, 
FOOTSCRAY VIC 3011",$470 per week,1,1,1,Apartment / Unit / Flat
"508/2 Joseph Road, 
FOOTSCRAY VIC 3011",$470 per week,1,1,1,Apartment / Unit / Flat
"3 Alexander Crescent, 
FRANKSTON VIC 3199",$470 pw,3,1,2,House
"3/57 - 59 Frankston - Flinders Rd, 
FRANKSTON VIC 3199",$470 weekly,2,1,2,House
"6 Alfred Pl, 
FRANKSTON VIC 3199",$470 per week,3,1,2,House
"2/31 Bradshaw Street, 
FRANKSTON VIC 3199",$470 Per Week,2,1,1,Apartment / Unit / Flat
"3/139 Kars Street, 
FRANKSTON SOUTH VIC 3199",$470 pw,2,2,2,Townhouse
"15 Wellington Street, 
GEELONG WEST VIC 3218",$470 pw,3,1,1,House
"10/9 Park Avenue, 
GLEN HUNTLY VIC 3163",$470.00,2,1,1,Apartment / Unit / Flat
"3/189 Daley Street, 
GLENROY VIC 3046",$470 PW / $2042 PCM,2,1,1,Villa
"106 Long Forest Av, 
HARKNESS VIC 3337",$470-$480,4,2,4,House
"265 Bulmans Road, 
HARKNESS VIC 3337",$470,4,2,2,House
"105 Victoria Street, 
HASTINGS VIC 3915",$470,3,2,4,House
"8 Ash Court, 
HASTINGS VIC 3915",$470 pw,3,1,1,House
"2/44 Cara Road, 
HIGHTON VIC 3216",UNDER OFFER,3,2,1,House
"39 North Valley Road, 
HIGHTON VIC 3216",$470,4,2,2,House
"1 Bugay Court, 
HILLSIDE VIC 3037",$470.00 Per Week,3,2,1,House
"25 Coolabah Crescent, 
HOPPERS CROSSING VIC 3029",$470,3,2,2,House
"123-125 Bell Street, 
IVANHOE VIC 3079",$470.00,1,1,1,Apartment / Unit / Flat
